"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HML3_4q13.3b",3.05033324396823,3.05884873138649,0.44666900759826,53.7194908437957,2.31257612595771e-13,4.5550876379829e-12
"MER41_1q21.3a",1.84840526744299,2.54981824024475,0.365755269267581,53.6397311703644,2.4083923845147e-13,4.67277780170791e-12
"ERVLB4_8q21.13d",3.5034499867616,3.94562886426455,0.576651589930991,53.5924701953186,2.46703148346479e-13,4.76200333526229e-12
"HERVL40_8q24.21",1.57651290055989,3.77075812599928,0.569033611581049,53.2948983668079,2.87051055794235e-13,5.48456941121573e-12
"MER34B_4q31.3",5.28404264276442,2.83838813460705,0.413536672372705,52.9991993054523,3.336843616776e-13,6.34337342098225e-12
"PRIMA4_2q24.3",1.28707398016221,3.26312090171684,0.482922627463082,52.7345751623424,3.81810168686492e-13,7.18566737467978e-12
"HERVH_4q31.1b",0.980710451466051,2.57498605429982,0.378994596074163,52.6787868654858,3.92810977114594e-13,7.35592297442453e-12
"PRIMA4_14q22.1",1.47557220443121,3.64705426957002,0.544899095976671,52.6420956987225,4.00218382919855e-13,7.45753462034818e-12
"MER34B_9q22.31a",1.40861247733853,2.26200332053164,0.324165934637356,52.562705606855,4.16728001750908e-13,7.68904018916872e-12
"MER41_14q32.32",1.56481892136437,3.53832360108713,0.530385439096202,52.4719373936482,4.36440416734587e-13,8.01347184677553e-12
"LTR23_9q22.33a",4.48122379195702,2.28070635959628,0.333263630838985,52.3747783870002,4.585758265385e-13,8.37902626743161e-12
"HARLEQUIN_6q21",9.63966916811923,2.10362184416856,0.305503586178916,52.3517994189591,4.63973242622495e-13,8.43669219918392e-12
"HERVL18_1q24.2",5.09043893868667,2.42545765409164,0.353266919053475,52.2301907132655,4.93613741313985e-13,8.93251020339346e-12
"HERV3_1q23.3",2.41590076600186,2.13754786111925,0.310379816026576,52.115372552051,5.23336222626685e-13,9.42506000941072e-12
"HERVS71_19p13.3",8.01431036901572,3.56561437212035,0.51980326884998,51.8764378694131,5.91054482168387e-13,1.059394795658e-11
"HERVL18_2q32.1",2.30569616911032,3.34605194644022,0.485058928092451,51.7848853148884,6.19266972181338e-13,1.10470184042207e-11
"HERVEA_8q11.23b",3.61559880983039,3.15872167337495,0.468000265978495,51.5232643800247,7.07536816094815e-13,1.25031388534314e-11
"HUERSP1_12p12.1",3.5998263844667,5.55943205930486,0.837736025218154,51.1527416706785,8.54512497628746e-13,1.50298366405355e-11
"MER61_13q14.2",6.09372099385639,2.07317778108103,0.305074958250298,50.8156305373343,1.01462484148511e-12,1.75992990937787e-11
"MER4_14q21.1a",1.71417538664302,3.39483755044775,0.511065051058093,50.7811358413497,1.03261414251846e-12,1.78291726258691e-11
"ERVLB4_17q25.3b",1.18105611987955,2.5277618255641,0.378945206936894,50.7306562267531,1.05951660635608e-12,1.82101392982844e-11
"MER61_10p15.1",1.36755862862878,3.7769029324124,0.593418218828611,50.7184448323566,1.06612918311143e-12,1.82405011146884e-11
"HERVH_6q24.2",1.05474662394626,3.51209577063072,0.556490981525032,50.5850364562361,1.14111757351092e-12,1.94351427452266e-11
"HERVIP10FH_20q13.12",1.62720014415613,2.62652027686816,0.391570843705733,50.4375031348877,1.23020689402624e-12,2.08581024734899e-11
"LTR23_9q22.33b",1.43030452277058,2.31487992096117,0.346490764985853,50.1409005320138,1.43093141371038e-12,2.40447582196691e-11
"HERVL_15q21.3",3.81058812564014,3.47867639125236,0.521636170396296,50.044235390989,1.50318749276193e-12,2.51466565455818e-11
"HML3_5p13.2",3.06183552562484,2.66331962703674,0.394205848581599,49.7958618496456,1.70603404224089e-12,2.84137705088261e-11
"HERV3_4q13.2b",2.43545368618537,3.29834199686115,0.478834253589269,49.7135443907562,1.77913454575154e-12,2.95007155515806e-11
"ERVL_1q44b",2.49515068594833,2.18717620649648,0.322678747547096,49.6438857965912,1.84343685042962e-12,3.04328785307767e-11
"HML2_19p13.3",7.14325284261748,4.91241191231718,0.711195190967885,49.5983317537137,1.88674071681622e-12,3.10117557122107e-11
