"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"L1FLnI_Xq21.1yc",527.197882532316,3.9916402888827,1.67022426023432,2.38988283425047,0.0168537484957791,0.999881585512955
"L1FLnI_3q21.2c",233.680166164177,-2.40909526109425,0.895642294386605,-2.68979622355167,0.00714956619813879,0.999881585512955
"L1FLnI_1q31.3f",166.782535928866,2.63183927083098,1.95925094519304,1.34328850384792,0.179178573146436,0.999881585512955
"L1FLnI_4q13.3oa",243.401089553542,3.56284035498459,3.67338983026792,0.969905324402973,0.33209368584757,0.999881585512955
"HERVH_8q22.1a",241.146358857609,2.55060747737375,1.69027354300797,1.50899094878735,0.131301095849204,0.999881585512955
"HERVS71_11q13.2",450.82858862456,2.84713820101454,3.61226293102101,0.788186866621527,0.430587410066696,0.999881585512955
"HERVH_14q11.2a",349.114688118398,2.95054021960077,1.96274417376274,1.50327294766304,0.132768673145095,0.999881585512955
"L1FLnI_Xq22.3y",226.778395708459,2.16109528506042,3.62584302577429,0.596025605548359,0.551158121183892,0.999881585512955
"ERVLE_5q31.1h",146.327939747817,3.72004835637981,3.69010352321798,1.00811490327397,0.313399303811815,0.999881585512955
"HUERSP3_2p23.1",280.013565236488,3.74020894633101,3.66529993187203,1.02043734915323,0.307521088092751,0.999881585512955
"L1FLnI_1p32.1f",468.563302623534,2.13301841684426,1.31435889551048,1.62285843244956,0.104619671202151,0.999881585512955
"HERVFRD_3p22.1",263.345434610225,2.11570073083305,1.73692613372494,1.21807179347104,0.223196691582047,0.999881585512955
"L1FLnI_3q12.2f",172.451949380027,3.31631357489325,3.67690588880646,0.901930502216291,0.367093786976005,0.999881585512955
"HML6_12q24.12a",207.976298555105,2.72267676887148,1.73408033931002,1.57009840152782,0.116392220416467,0.999881585512955
"HERVH_5q23.2a",206.631220071413,4.13163881395078,3.67719448468628,1.12358452378764,0.261189324604878,0.999881585512955
"L1FLnI_10q23.33h",206.542937521453,3.13831633255307,3.66066655360247,0.857307347336689,0.391275049018179,0.999881585512955
"HERV3_7q34a",86.2801194690579,3.16526186270068,1.61702748280788,1.95745706016349,0.0502937555232229,0.999881585512955
"L1FLnI_7p21.2j",171.199338206652,3.13961507664492,3.65678011055746,0.858573658170084,0.390575776333383,0.999881585512955
"HERVE_20p11.21b",132.315783286106,3.34269686060996,3.65729875703227,0.913979710895264,0.360727506825472,0.999881585512955
"MER4_11q12.1b",209.877448005074,3.65977694211277,3.67736320854853,0.995217696637939,0.319630396633992,0.999881585512955
"L1FLnI_7p14.3p",114.969506550443,-2.48039549168534,0.967692520838003,-2.56320622333359,0.0103710427387562,0.999881585512955
"MER4B_1q31.3",57.4461622777201,2.7278197840665,3.70212593652971,0.736825227135169,0.46122863984989,0.999881585512955
"HERVH_4q35.2a",106.617636730192,2.15456138245239,3.62961448156889,0.593606123568552,0.552775584378594,0.999881585512955
"HERVL_16p12.3a",149.902014836587,4.17973124333582,3.68800778701616,1.13333037366429,0.257075541110378,0.999881585512955
"MER4_16q23.1d",132.455115517391,3.54309194099372,3.68125788078415,0.962467736772355,0.335814702189775,0.999881585512955
"HERVH_17q24.2",168.864382709279,2.4082614675079,3.64615147218323,0.660494081466641,0.508936815329009,0.999881585512955
"HERVE_6q15",119.506519847472,2.91394406038893,3.67464239043081,0.792987112971095,0.427785331092233,0.999881585512955
"HERV9_10q23.33",110.295274242128,3.12411398547075,3.70536214485328,0.843133238625574,0.399153931086621,0.999881585512955
"L1FLnI_4q13.2ba",47.2971456922208,2.87215561616339,3.70305624644222,0.775617604761707,0.437974802592522,0.999881585512955
"L1FLnI_18q12.1q",267.984095777366,4.62019803280656,3.68892477917349,1.25245113668101,0.210405522793336,0.999881585512955
"L1FLnI_2p22.3e",88.4351359346372,2.51639292764931,2.08711380774493,1.20568074357584,0.227940612680372,0.999881585512955
"L1FLnI_21q22.3a",1798.26431001254,2.04414367786244,1.40317210197066,1.4568018242321,0.145171092208472,0.999881585512955
"HERVS71_19p13.3",121.440345813272,2.02961826982634,3.63038844455136,0.559063665176787,0.57611827117186,0.999881585512955
"L1FLnI_21q22.11d",216.338202643593,2.10873585949003,1.11861242502426,1.88513538050885,0.0594115623790574,0.999881585512955
"HUERSP2_17q12",88.7329995543699,3.45127293863671,3.68650741498497,0.936190423653544,0.34917515287864,0.999881585512955
"L1FLnI_12q13.11a",76.3339650326528,-2.09223238807862,1.1435632942482,-1.82957287856471,0.0673138323512896,0.999881585512955
"L1FLnI_1q31.1c",557.743608815522,-2.14221946733097,1.57063989443937,-1.36391509913584,0.172594288087114,0.999881585512955
"HERV4_15q26.1",56.2767537488336,2.72979337827288,3.69233019677858,0.739314533855753,0.459716025968143,0.999881585512955
"HERVL_4q32.1a",150.522618363684,2.12447047731462,1.09247784032946,1.9446348464825,0.0518189422218007,0.999881585512955
"HARLEQUIN_1q32.1",84.9488962711963,2.38448256494071,1.32286967976446,1.80250753450277,0.071465590355649,0.999881585512955
"L1FLnI_8p11.21a",251.835425290234,3.39949636239234,3.63451135455145,0.935337939757762,0.349614168791377,0.999881585512955
"L1FLnI_8p23.1d",61.0940627674337,2.7093560963792,3.66587521299019,0.739074829055412,0.459861560359503,0.999881585512955
"ERV316A3_21q21.1f",117.414114192238,4.0546904174592,3.69681896942835,1.0968052401241,0.272726539031241,0.999881585512955
"MER41_12p11.23a",133.340243840716,4.97759080898338,3.68908456099409,1.34927533557053,0.177248544778019,0.999881585512955
